20:58:03 - INFO    	|    Train
20:58:04 - INFO    	|    cumulative_reward
20:58:05 - INFO    	|    -149.8659955362382
20:58:07 - INFO    	|    -124.41445920368376
20:58:08 - INFO    	|    -65.42475754664767
20:58:09 - INFO    	|    -104.29816095084294
20:58:11 - INFO    	|    -124.90286429014108
20:58:13 - INFO    	|    -50.61835665124441
20:58:14 - INFO    	|    -296.47762692514584
20:58:16 - INFO    	|    -124.8698989570152
20:58:18 - INFO    	|    -92.69870220249152
20:58:20 - INFO    	|    -11.360555972904265
20:58:22 - INFO    	|    -132.01351171823958
20:58:24 - INFO    	|    -465.96232807170657
20:58:26 - INFO    	|    -132.42277989872497
20:58:27 - INFO    	|    -164.34017083438403
20:58:29 - INFO    	|    -79.09714269389917
20:58:31 - INFO    	|    -177.25705880337605
20:58:32 - INFO    	|    -154.1899741127639
20:58:34 - INFO    	|    -86.11885520768031
20:58:36 - INFO    	|    -109.9101310219632
20:58:38 - INFO    	|    -203.1861066721212
20:58:41 - INFO    	|    -235.54284074088446
20:58:43 - INFO    	|    10.778155544444516
20:58:45 - INFO    	|    -535.6779283729645
20:58:47 - INFO    	|    -182.6525003863307
20:58:50 - INFO    	|    -245.78685608990142
20:58:51 - INFO    	|    -170.9717638679185
20:58:54 - INFO    	|    -126.27481172487921
20:58:55 - INFO    	|    -420.88735598674276
20:58:57 - INFO    	|    -536.4777433756624
20:58:59 - INFO    	|    -314.661706844631
20:59:00 - INFO    	|    -88.17034149401348
20:59:02 - INFO    	|    -94.68266901515022
20:59:03 - INFO    	|    -128.09266443018458
20:59:05 - INFO    	|    -102.72532422133528
20:59:07 - INFO    	|    -322.69538952339417
20:59:09 - INFO    	|    -117.90405643971695
20:59:11 - INFO    	|    -74.89511711311309
20:59:13 - INFO    	|    -91.59329110164254
20:59:15 - INFO    	|    -335.60036351738364
20:59:17 - INFO    	|    -246.2118608321115
20:59:18 - INFO    	|    -215.41942419364136
20:59:20 - INFO    	|    -115.87396975136406
